employee,VOTE,amount
60007,001,"240,300"
61942,001,"113,000"
61947,001,"147,996"
61954,001,"108,907"
61960,001,"108,100"
62047,001,"99,380"
62049,001,"96,600"
62064,001,"118,300"
62067,001,"526,773"
62070,001,"233,547"
62074,001,"510,776"
62082,001,"105,451"
62199,001,"140,084"
62238,001,"158,508"
62394,001,"112,975"
62411,001,"113,586"
62452,001,"127,066"
62460,001,"246,052"
62741,001,"181,238"
71363,001,"183,333"
369259,001,"199,365"
683050,001,"207,940"
730196,001,"481,300"
737924,001,"100,000"
742371,001,"320,000"
742425,001,"112,000"
768566,001,"100,000"
798081,001,0
829416,001,"20,000"
839336,001,"110,968"
839388,001,"102,293"
846066,001,"51,000"
846106,001,"100,732"
869693,001,"482,900"
870073,001,"326,914"
963609,001,"100,000"
964157,001,"142,312"
1023243,001,"196,800"
1030448,001,"124,099"
1031159,001,"95,250"
1035789,001,"509,141"
62469,002,"181,259"
62697,002,"160,667"
66831,002,"131,004"
66851,002,"99,333"
66878,002,"92,500"
66885,002,"330,124"
66896,002,"1,088,500"
66904,002,"55,500"
66926,002,"158,232"
66936,002,"165,300"
66942,002,"102,000"
66963,002,"20,055"
66977,002,"316,140"
66982,002,"100,000"
67002,002,0
67023,002,"96,267"
67024,002,"88,800"
67048,002,"105,451"
67062,002,"105,000"
67084,002,"109,173"
67092,002,"250,148"
67106,002,"90,000"
67114,002,"97,600"
67121,002,"96,160"
67122,002,"105,000"
67126,002,"167,602"
67128,002,"95,000"
67129,002,"94,013"
67137,002,"108,300"
67140,002,"146,000"
67154,002,"59,665"
67161,002,"97,766"
67184,002,"90,000"
67202,002,"79,500"
67206,002,"98,000"
67221,002,"160,000"
67244,002,"103,050"
67254,002,"92,500"
67255,002,"100,732"
67260,002,"99,913"
67261,002,"96,801"
67269,002,"106,852"
67276,002,"104,000"
67277,002,"98,000"
67293,002,"95,800"
67358,002,"91,766"
67361,002,"110,000"
67362,002,"93,000"
67378,002,"133,250"
67387,002,"156,200"
67396,002,"147,671"
67404,002,"494,000"
67420,002,0
67421,002,"476,000"
67422,002,"435,329"
67423,002,"348,263"
67424,002,0
67425,002,"100,000"
67434,002,"160,352"
67447,002,"265,938"
67461,002,"213,953"
67465,002,"79,500"
67469,002,"295,490"
80196,002,"250,148"
80263,002,"93,100"
80302,002,"490,000"
418375,002,"88,000"
676112,002,"89,800"
681315,002,"105,000"
681319,002,"98,656"
681326,002,"106,000"
681428,002,"155,000"
709234,002,"1,366,953"
729825,002,"88,800"
729826,002,"93,900"
730161,002,"133,250"
730165,002,"105,000"
731076,002,"55,100"
731081,002,"270,100"
798539,002,"176,687"
800514,002,"100,000"
804639,002,"90,077"
805564,002,"95,000"
845907,002,"258,800"
845913,002,"277,885"
845957,002,"277,885"
860764,002,"495,834"
873769,002,"106,915"
925564,002,"100,000"
925645,002,"100,000"
946756,002,"172,820"
946775,002,"100,139"
964308,002,"493,373"
966170,002,"494,000"
971350,002,"128,796"
972090,002,"92,000"
973950,002,"90,000"
978737,002,"92,200"
